id,name,prefix,parent_id
132068,Xã Biển Bạch,Xã,1967
132074,Xã Biển Bạch Đông,Xã,1967
132092,Xã Hồ Thị Kỷ,Xã,1967
132069,Xã Tân Bằng,Xã,1967
132086,Xã Tân Lộc,Xã,1967
132083,Xã Tân Lộc Bắc,Xã,1967
132089,Xã Tân Lộc Đông,Xã,1967
132080,Xã Tân Phú,Xã,1967
132077,Xã Thới Bình,Xã,1967
132072,Xã Trí Lực,Xã,1967
132071,Xã Trí Phải,Xã,1967
132044,Thị trấn U Minh,Thị trấn,1966
132059,Xã Khánh An,Xã,1966
132047,Xã Khánh Hòa,Xã,1966
132062,Xã Khánh Hội,Xã,1966
132056,Xã Khánh Lâm,Xã,1966
132048,Xã Khánh Thuận,Xã,1966
132050,Xã Khánh Tiến,Xã,1966
132053,Xã Nguyễn Phích,Xã,1966
132005,Phường 1,Phường,1964
132011,Phường 2,Phường,1964
132002,Phường 4,Phường,1964
132008,Phường 5,Phường,1964
132017,Phường 6,Phường,1964
132020,Phường 7,Phường,1964
132014,Phường 8,Phường,1964
131999,Phường 9,Phường,1964
132025,Phường Tân Thành,Phường,1964
132022,Phường Tân Xuyên,Phường,1964
132023,Xã An Xuyên,Xã,1964
132035,Xã Định Bình,Xã,1964
132041,Xã Hòa Tân,Xã,1964
132038,Xã Hòa Thành,Xã,1964
132032,Xã Lý Văn Lâm,Xã,1964
132029,Xã Tắc Vân,Xã,1964
132026,Xã Tân Thành,Xã,1964
131891,Thị trấn Hòa Bình,Thị trấn,1961
131915,Xã Minh Diệu,Xã,1961
131918,Xã Vĩnh Bình,Xã,1961
131927,Xã Vĩnh Hậu,Xã,1961
131930,Xã Vĩnh Hậu A,Xã,1961
131933,Xã Vĩnh Mỹ A,Xã,1961
131924,Xã Vĩnh Mỹ B,Xã,1961
131936,Xã Vĩnh Thịnh,Xã,1961
131972,Thị trấn Gành Hào,Thị trấn,1960
131990,Xã An Phúc,Xã,1960
131987,Xã An Trạch,Xã,1960
131988,Xã An Trạch A,Xã,1960
131985,Xã Điền Hải,Xã,1960
131993,Xã Định Thành,Xã,1960
131996,Xã Định Thành A,Xã,1960
131981,Xã Long Điền,Xã,1960
131975,Xã Long Điền Đông,Xã,1960
131978,Xã Long Điền Đông A,Xã,1960
131984,Xã Long Điền Tây,Xã,1960
131942,Phường 1,Phường,1959
131945,Phường Hộ Phòng,Phường,1959
131951,Phường Láng Tròn,Phường,1959
131954,Xã Phong Tân,Xã,1959
131960,Xã Phong Thạnh,Xã,1959
131963,Xã Phong Thạnh A,Xã,1959
131948,Xã Phong Thạnh Đông,Xã,1959
131966,Xã Phong Thạnh Tây,Xã,1959
131957,Xã Tân Phong,Xã,1959
131969,Xã Tân Thạnh,Xã,1959
131900,Thị trấn Châu Hưng,Thị trấn,1958
131903,Xã Châu Hưng A,Xã,1958
131912,Xã Châu Thới,Xã,1958
131909,Xã Hưng Hội,Xã,1958
131906,Xã Hưng Thành,Xã,1958
131921,Xã Long Thạnh,Xã,1958
131894,Xã Vĩnh Hưng,Xã,1958
131897,Xã Vĩnh Hưng A,Xã,1958
131867,Thị trấn Phước Long,Thị trấn,1957
131879,Xã Hưng Phú,Xã,1957
131885,Xã Phong Thạnh Tây A,Xã,1957
131888,Xã Phong Thạnh Tây B,Xã,1957
131876,Xã Phước Long,Xã,1957
131870,Xã Vĩnh Phú Đông,Xã,1957
131873,Xã Vĩnh Phú Tây,Xã,1957
131882,Xã Vĩnh Thanh,Xã,1957
131843,Thị trấn Ngan Dừa,Thị trấn,1956
131855,Xã Lộc Ninh,Xã,1956
131852,Xã Ninh Hòa,Xã,1956
131846,Xã Ninh Quới,Xã,1956
131849,Xã Ninh Quới A,Xã,1956
131864,Xã Ninh Thạnh Lợi,Xã,1956
131863,Xã Ninh Thạnh Lợi A,Xã,1956
131858,Xã Vĩnh Lộc,Xã,1956
131861,Xã Vĩnh Lộc A,Xã,1956
131825,Phường 1,Phường,1954
131813,Phường 2,Phường,1954
131816,Phường 3,Phường,1954
131819,Phường 5,Phường,1954
131822,Phường 7,Phường,1954
131828,Phường 8,Phường,1954
131831,Phường Nhà Mát,Phường,1954
131840,Xã Hiệp Thành,Xã,1954
131834,Xã Vĩnh Trạch,Xã,1954
131837,Xã Vĩnh Trạch Đông,Xã,1954
131679,Thị trấn Lịch Hội Thượng,Thị trấn,1951
131673,Thị trấn Trần Đề,Thị trấn,1951
131672,Xã Đại Ân  2,Xã,1951
131678,Xã Lịch Hội Thượng,Xã,1951
131675,Xã Liêu Tú,Xã,1951
131687,Xã Tài Văn,Xã,1951
131699,Xã Thạnh Thới An,Xã,1951
131702,Xã Thạnh Thới Thuận,Xã,1951
131681,Xã Trung Bình,Xã,1951
131696,Xã Viên An,Xã,1951
131705,Xã Viên Bình,Xã,1951
131783,Phường 1,Phường,1950
131801,Phường 2,Phường,1950
131789,Phường Khánh Hòa,Phường,1950
131804,Phường Vĩnh Phước,Phường,1950
131786,Xã Hòa Đông,Xã,1950
131798,Xã Lạc Hòa,Xã,1950
131810,Xã Lai Hòa,Xã,1950
131795,Xã Vĩnh Hải,Xã,1950
131792,Xã Vĩnh Hiệp,Xã,1950
131807,Xã Vĩnh Tân,Xã,1950
131757,Thị trấn Hưng Lợi,Thị trấn,1949
131756,Thị trấn Phú Lộc,Thị trấn,1949
131780,Xã Châu Hưng,Xã,1949
131765,Xã Lâm Kiết,Xã,1949
131759,Xã Lâm Tân,Xã,1949
131762,Xã Thạnh Tân,Xã,1949
131774,Xã Thạnh Trị,Xã,1949
131768,Xã Tuân Tức,Xã,1949
131777,Xã Vĩnh Lợi,Xã,1949
131771,Xã Vĩnh Thành,Xã,1949
131732,Phường 1,Phường,1948
131735,Phường 2,Phường,1948
131747,Phường 3,Phường,1948
131744,Xã Long Bình,Xã,1948
131750,Xã Mỹ Bình,Xã,1948
131753,Xã Mỹ Quới,Xã,1948
131741,Xã Tân Long,Xã,1948
131738,Xã Vĩnh Quới,Xã,1948
131684,Thị trấn Mỹ Xuyên,Thị trấn,1947
131690,Xã Đại Tâm,Xã,1947
131720,Xã Gia Hòa 1,Xã,1947
131726,Xã Gia Hòa 2,Xã,1947
131717,Xã Hòa Tú 1,Xã,1947
131729,Xã Hòa Tú II,Xã,1947
131711,Xã Ngọc Đông,Xã,1947
131723,Xã Ngọc Tố,Xã,1947
131693,Xã Tham Đôn,Xã,1947
131708,Xã Thạnh Phú,Xã,1947
131714,Xã Thạnh Quới,Xã,1947
131645,Thị trấn Đại Ngãi,Thị trấn,1946
131639,Thị trấn Long Phú,Thị trấn,1946
131663,Xã Châu Khánh,Xã,1946
131648,Xã Hậu Thạnh,Xã,1946
131651,Xã Long Đức,Xã,1946
131669,Xã Long Phú,Xã,1946
131657,Xã Phú Hữu,Xã,1946
131642,Xã Song Phụng,Xã,1946
131660,Xã Tân Hưng,Xã,1946
131666,Xã Tân Thạnh,Xã,1946
131654,Xã Trường Khánh,Xã,1946
131615,Thị trấn Cù Lao Dung,Thị trấn,1945
131618,Xã An Thạnh 1,Xã,1945
131630,Xã An Thạnh 2,Xã,1945
131633,Xã An Thạnh 3,Xã,1945
131624,Xã An Thạnh Đông,Xã,1945
131636,Xã An Thạnh Nam,Xã,1945
131621,Xã An Thạnh Tây,Xã,1945
131627,Xã Đại Ân 1,Xã,1945
131567,Thị trấn Huỳnh Hữu Nghĩa,Thị trấn,1944
131588,Xã Hưng Phú,Xã,1944
131579,Xã Long Hưng,Xã,1944
131591,Xã Mỹ Hương,Xã,1944
131603,Xã Mỹ Phước,Xã,1944
131609,Xã Mỹ Thuận,Xã,1944
131597,Xã Mỹ Tú,Xã,1944
131612,Xã Phú Mỹ,Xã,1944
131606,Xã Thuận Hưng,Xã,1944
131531,Thị trấn An Lạc Thôn,Thị trấn,1943
131528,Thị trấn Kế Sách,Thị trấn,1943
131540,Xã An Lạc Tây,Xã,1943
131564,Xã An Mỹ,Xã,1943
131546,Xã Ba Trinh,Xã,1943
131561,Xã Đại Hải,Xã,1943
131558,Xã Kế An,Xã,1943
131555,Xã Kế Thành,Xã,1943
131552,Xã Nhơn Mỹ,Xã,1943
131537,Xã Phong Nẫm,Xã,1943
131549,Xã Thới An Hội,Xã,1943
131543,Xã Trinh Phú,Xã,1943
131534,Xã Xuân Hòa,Xã,1943
131569,Thị trấn Châu Thành,Thị trấn,1942
131594,Xã An Hiệp,Xã,1942
131600,Xã An Ninh,Xã,1942
131570,Xã Hồ Đắc Kiện,Xã,1942
131573,Xã Phú Tâm,Xã,1942
131582,Xã Phú Tân,Xã,1942
131585,Xã Thiện Mỹ,Xã,1942
131576,Xã Thuận Hòa,Xã,1942
131513,Phường 1,Phường,1941
131525,Phường 10,Phường,1941
131510,Phường 2,Phường,1941
131519,Phường 3,Phường,1941
131516,Phường 4,Phường,1941
131498,Phường 5,Phường,1941
131507,Phường 6,Phường,1941
131501,Phường 7,Phường,1941
131504,Phường 8,Phường,1941
131522,Phường 9,Phường,1941
131473,Phường Bình Thạnh,Phường,1937
131471,Phường Thuận An,Phường,1937
131472,Phường Trà Lồng,Phường,1937
131475,Phường Vĩnh Tường,Phường,1937
131474,Xã Long Bình,Xã,1937
131480,Xã Long Phú,Xã,1937
131477,Xã Long Trị,Xã,1937
131478,Xã Long Trị A,Xã,1937
131481,Xã Tân Phú,Xã,1937
131493,Xã Lương Nghĩa,Xã,1936
131492,Xã Lương Tâm,Xã,1936
131484,Xã Thuận Hòa,Xã,1936
131483,Xã Thuận Hưng,Xã,1936
131486,Xã Vĩnh Thuận Đông,Xã,1936
131489,Xã Vĩnh Viễn,Xã,1936
131490,Xã Vĩnh Viễn A,Xã,1936
131495,Xã Xà Phiên,Xã,1936
131441,Thị trấn Nàng Mau,Thị trấn,1935
131468,Xã Vị Bình,Xã,1935
131462,Xã Vị Đông,Xã,1935
131450,Xã Vị Thắng,Xã,1935
131465,Xã Vị Thanh,Xã,1935
131447,Xã Vị Thuỷ,Xã,1935
131444,Xã Vị Trung,Xã,1935
131453,Xã Vĩnh Thuận Tây,Xã,1935
131456,Xã Vĩnh Trung,Xã,1935
131459,Xã Vĩnh Tường,Xã,1935
131433,Thị trấn Búng Tàu,Thị trấn,1934
131396,Thị trấn Cây Dương,Thị trấn,1934
131393,Thị trấn Kinh Cùng,Thị trấn,1934
131402,Xã Bình Thành,Xã,1934
131429,Xã Hiệp Hưng,Xã,1934
131423,Xã Hòa An,Xã,1934
131420,Xã Hòa Mỹ,Xã,1934
131408,Xã Long Thạnh,Xã,1934
131417,Xã Phụng Hiệp,Xã,1934
131426,Xã Phương Bình,Xã,1934
131435,Xã Phương Phú,Xã,1934
131399,Xã Tân Bình,Xã,1934
131438,Xã Tân Long,Xã,1934
131432,Xã Tân Phước Hưng,Xã,1934
131405,Xã Thạnh Hòa,Xã,1934
131381,Thị trấn Mái Dầm,Thị trấn,1933
131366,Thị Trấn Ngã Sáu,Thị trấn,1933
131375,Xã Đông Phú,Xã,1933
131384,Xã Đông Phước,Xã,1933
131387,Xã Đông Phước A,Xã,1933
131369,Xã Đông Thạnh,Xã,1933
131372,Xã Phú An,Xã,1933
131378,Xã Phú Hữu,Xã,1933
131379,Xã Phú Tân,Xã,1933
131346,Thị trấn Bảy Ngàn,Thị trấn,1932
131362,Thị trấn Cái Tắc,Thị trấn,1932
131342,Thị trấn Một Ngàn,Thị trấn,1932
131359,Thị trấn Rạch Gòi,Thị trấn,1932
131357,Xã Nhơn Nghĩa A,Xã,1932
131345,Xã Tân Hoà,Xã,1932
131363,Xã Tân Phú Thạnh,Xã,1932
131360,Xã Thạnh Xuân,Xã,1932
131351,Xã Trường Long A,Xã,1932
131348,Xã Trường Long Tây,Xã,1932
131343,Phường Hiệp Thành,Phường,1931
131341,Phường Lái Hiếu,Phường,1931
131340,Phường Ngã Bảy,Phường,1931
131411,Xã Đại Thành,Xã,1931
131344,Xã Hiệp Lợi,Xã,1931
131414,Xã Tân Thành,Xã,1931
131318,Phường I,Phường,1930
131321,Phường III,Phường,1930
131324,Phường IV,Phường,1930
131327,Phường V,Phường,1930
131330,Phường VII,Phường,1930
131336,Xã Hoả Lựu,Xã,1930
131339,Xã Hoả Tiến,Xã,1930
131338,Xã Tân Tiến,Xã,1930
131333,Xã Vị Tân,Xã,1930
131258,Thị trấn Thới Lai,Thị trấn,1927
131288,Xã Định Môn,Xã,1927
131279,Xã Đông Bình,Xã,1927
131282,Xã Đông Thuận,Xã,1927
131268,Xã Tân Thạnh,Xã,1927
131285,Xã Thới Tân,Xã,1927
131267,Xã Thới Thạnh,Xã,1927
131286,Xã Trường Thắng,Xã,1927
131291,Xã Trường Thành,Xã,1927
131294,Xã Trường Xuân,Xã,1927
131297,Xã Trường Xuân A,Xã,1927
131298,Xã Trường Xuân B,Xã,1927
131270,Xã Xuân Thắng,Xã,1927
131299,Thị trấn Phong Điền,Thị trấn,1926
131303,Xã Giai Xuân,Xã,1926
131312,Xã Mỹ Khánh,Xã,1926
131300,Xã Nhơn Ái,Xã,1926
131315,Xã Nhơn Nghĩa,Xã,1926
131306,Xã Tân Thới,Xã,1926
131309,Xã Trường Long,Xã,1926
131261,Thị trấn Cờ Đỏ,Thị trấn,1925
131273,Xã Đông Hiệp,Xã,1925
131274,Xã Đông Thắng,Xã,1925
131249,Xã Thạnh Phú,Xã,1925
131276,Xã Thới Đông,Xã,1925
131264,Xã Thới Hưng,Xã,1925
131277,Xã Thới Xuân,Xã,1925
131222,Xã Trung An,Xã,1925
131255,Xã Trung Hưng,Xã,1925
131225,Xã Trung Thạnh,Xã,1925
131231,Thị trấn Thanh An,Thị trấn,1924
131232,Thị trấn Vĩnh Thạnh,Thị trấn,1924
131240,Xã Thạnh An,Xã,1924
131252,Xã Thạnh Lộc,Xã,1924
131244,Xã Thạnh Lợi,Xã,1924
131234,Xã Thạnh Mỹ,Xã,1924
131246,Xã Thạnh Qưới,Xã,1924
131243,Xã Thạnh Thắng,Xã,1924
131241,Xã Thạnh Tiến,Xã,1924
131211,Xã Vĩnh Bình,Xã,1924
131237,Xã Vĩnh Trinh,Xã,1924
131227,Phường Tân Hưng,Phường,1923
131213,Phường Tân Lộc,Phường,1923
131217,Phường Thạnh Hoà,Phường,1923
131210,Phường Thới Thuận,Phường,1923
131207,Phường Thốt Nốt,Phường,1923
131212,Phường Thuận An,Phường,1923
131228,Phường Thuận Hưng,Phường,1923
131219,Phường Trung Kiên,Phường,1923
131216,Phường Trung Nhứt,Phường,1923
131195,Phường Ba Láng,Phường,1919
131189,Phường Hưng Phú,Phường,1919
131192,Phường Hưng Thạnh,Phường,1919
131186,Phường Lê Bình,Phường,1919
131201,Phường Phú Thứ,Phường,1919
131204,Phường Tân Phú,Phường,1919
131198,Phường Thường Thạnh,Phường,1919
131177,Phường An Thới,Phường,1918
131168,Phường Bình Thủy,Phường,1918
131178,Phường Bùi Hữu Nghĩa,Phường,1918
131180,Phường Long Hòa,Phường,1918
131183,Phường Long Tuyền,Phường,1918
131174,Phường Thới An Đông,Phường,1918
