13247	1850
5738	7568
7605	9815
7591	9819
6655	2155
6656	2158
6658	2160
6659	2161
6660	2162
6661	2163
6662	2164
6663	2165
6664	2166
6665	2168
6666	2169
6667	2170
6668	2171
6669	2172
6757	2174
6672	2175
6673	2176
6674	2177
6675	2178
6676	2179
6677	2180
6678	2181
6679	2182
6680	2183
6681	2184
6682	2185
6683	2186
6671	2187
6684	2188
6685	2189
24012	3629
24015	3630
24009	3634
24018	3636
24021	3637
19606	3183
19612	3186
19646	3187
19652	3188
19631	3189
19605	3191
19648	3192
19609	3193
19603	3194
19617	3195
19604	3196
19620	3197
19644	3198
19635	3199
19641	3200
7245	2384
7246	2386
7247	2387
7248	2388
7249	2389
7250	2390
7251	2391
7252	2392
7253	2393
7254	2394
7255	2395
7256	2396
7257	2397
7258	2398
6792	9242
6793	9243
6794	9244
6795	9245
6796	9246
6797	9248
6798	9249
6799	9250
6800	9251
6801	9252
6802	9253
6803	9254
6804	9255
6805	9256
6806	9257
6807	9258
6808	9259
35282	9260
6347	7196
6355	7200
6350	7201
6354	7202
6351	7203
6352	7204
6353	7205
6357	7207
23724	5704
23736	5706
23727	5709
23730	5713
23733	5714
23739	5716
6505	6252
6490	6254
6488	6255
6487	6256
6492	6257
6493	6258
6494	6260
6509	6261
6508	6262
6485	6263
6489	6265
6506	6267
6495	6269
6486	6271
6510	6272
7037	1869
7039	1870
7034	1872
7040	1873
7032	1874
7030	1875
7036	1876
7041	1877
7033	1878
7031	1879
7029	1880
7038	1881
7259	2400
7260	2401
7261	2402
7262	2403
7263	2404
7264	2405
7265	2406
7266	2408
7267	2409
7268	2410
7269	2411
7270	2412
7271	2413
7272	2414
7273	2415
7274	2416
7275	2418
7276	2419
7277	2420
7278	2421
7279	2422
7280	2423
23682	2424
7286	2425
7285	2426
23721	2427
7281	2428
7282	2429
7283	2430
7284	2431
7287	2432
24100	2433
18430	9648
7345	2444
7347	2445
7346	2446
7612	9768
7613	9769
7617	9771
7615	9772
7611	9773
7614	9774
7616	9775
7645	9779
7646	9780
7643	9781
6089	1760
